iter	Passed	Remaining
0	137	67951
1	143	35368
2	149	24498
3	153	18917
4	159	15646
5	165	13519
6	170	11906
7	175	10681
8	180	9782
9	185	8997
10	190	8400
11	195	7871
12	199	7416
13	205	7069
14	210	6751
15	215	6454
16	220	6203
17	224	5967
18	230	5782
19	234	5583
20	239	5415
21	244	5277
22	249	5125
23	254	5006
24	259	4882
25	263	4768
26	269	4677
27	273	4568
28	278	4489
29	283	4400
30	288	4320
31	293	4253
32	297	4169
33	310	4219
34	315	4154
35	319	4087
36	324	4027
37	330	3982
38	336	3940
39	341	3896
40	345	3839
41	351	3796
42	355	3748
43	360	3702
44	365	3667
45	369	3618
46	375	3590
47	380	3555
48	385	3514
49	390	3487
50	395	3450
51	400	3416
52	406	3394
53	411	3364
54	415	3335
55	421	3308
56	425	3277
57	430	3254
58	435	3222
59	439	3197
60	444	3172
61	448	3141
62	454	3122
63	458	3092
64	464	3077
65	470	3063
66	474	3038
67	479	3018
68	484	3001
69	489	2977
70	494	2961
71	498	2937
72	504	2922
73	509	2908
74	514	2885
75	519	2872
76	524	2854
77	528	2834
78	534	2819
79	538	2799
80	543	2786
81	548	2768
82	552	2750
83	558	2737
84	562	2718
85	568	2708
86	572	2692
87	576	2674
88	582	2663
89	586	2643
90	591	2632
91	595	2615
92	600	2602
93	605	2591
94	611	2579
95	616	2568
96	621	2558
97	626	2542
98	631	2531
99	635	2516
100	640	2504
101	645	2493
102	650	2481
103	655	2471
104	660	2459
105	665	2447
106	670	2437
107	674	2423
108	679	2414
109	684	2403
110	689	2390
111	694	2380
112	698	2366
113	703	2358
114	708	2345
115	714	2339
116	721	2338
117	727	2329
118	731	2317
119	736	2307
120	741	2297
121	745	2285
122	751	2278
123	755	2265
124	760	2257
125	765	2248
126	770	2237
127	775	2229
128	779	2217
129	784	2209
130	789	2199
131	793	2189
132	799	2181
133	803	2170
134	809	2163
135	814	2154
136	819	2146
137	824	2138
138	828	2128
139	833	2120
140	839	2113
141	843	2102
142	848	2095
143	854	2088
144	858	2078
145	863	2071
146	868	2060
147	872	2052
148	877	2043
149	881	2033
150	887	2026
151	891	2016
152	896	2009
153	901	2001
154	906	1993
155	911	1987
156	915	1977
157	921	1971
158	926	1964
159	930	1954
160	936	1947
161	940	1938
162	945	1931
163	950	1924
164	954	1915
165	960	1909
166	965	1901
167	970	1893
168	976	1888
169	980	1881
170	987	1876
171	994	1873
172	1000	1868
173	1007	1863
